mode,users,runs,throughput_avg,throughput_min,throughput_max,total_s_avg,total_s_min,total_s_max,success_rate_avg,success_rate_min,success_rate_max
bypass,2,3,19.456899999999997,17.3193,20.63,51.7294,48.481,57.7389,50.0,50.0,50.0
bypass,4,3,41.51326666666667,35.4068,44.873,24.374766666666666,22.2851,28.2432,50.0,50.0,50.0
bypass,8,3,89.6542,87.31,91.4236,11.158333333333333,10.9381,11.454,50.0,50.0,50.0
bypass,16,3,176.57673333333332,171.61,183.6777,5.667933333333333,5.4443,5.827,50.0,50.0,50.0
bypass,32,3,275.13123333333334,262.9016,285.8521,3.6390000000000002,3.4983,3.8037,50.0,50.0,50.0
bypass,64,3,322.46633333333335,272.128,365.921,3.1478333333333333,2.7328,3.6747,50.0,50.0,50.0
bypass,100,3,383.6612666666667,366.6033,396.01,2.6092,2.525,2.7277,50.0,50.0,50.0
inmemory,2,3,20.059833333333334,17.3875,22.3533,50.391866666666665,44.7362,57.5125,50.0,50.0,50.0
inmemory,4,3,40.08626666666667,29.8936,47.2955,25.937966666666664,21.1437,33.452,50.0,50.0,50.0
inmemory,8,3,95.68823333333333,91.6133,98.8072,10.4611,10.1207,10.9154,50.0,50.0,50.0
inmemory,16,3,137.03343333333333,52.1875,180.0824,10.1022,5.553,19.1617,50.0,50.0,50.0
inmemory,32,3,216.88373333333334,47.5805,316.2346,9.221833333333333,3.1622,21.017,50.0,50.0,50.0
inmemory,64,3,340.2279,290.53,375.4891,2.9749333333333334,2.6632,3.442,50.0,50.0,50.0
inmemory,100,3,395.5158,390.2997,401.1053,2.5286333333333335,2.4931,2.5621,50.0,50.0,50.0
redis,2,3,19.0563,17.0176,21.7694,53.03333333333334,45.9361,58.7627,50.0,50.0,50.0
redis,4,3,47.157466666666664,44.8838,48.4192,21.230933333333333,20.653,22.2797,50.0,50.0,50.0
redis,8,3,87.5404,70.8196,95.9021,11.658433333333333,10.4273,14.1204,50.0,50.0,50.0
redis,16,3,130.23416666666665,47.9665,172.2698,10.839666666666666,5.8048,20.8479,50.0,50.0,50.0
redis,32,3,199.27446666666668,45.7263,278.8431,9.705033333333333,3.5862,21.8693,50.0,50.0,50.0
redis,64,3,342.69460000000004,293.927,368.8974,2.950266666666667,2.7108,3.4022,50.0,50.0,50.0
redis,128,3,363.9133,298.7725,397.7926,2.7971333333333335,2.5139,3.347,50.0,50.0,50.0
redis,256,3,346.46613333333335,293.2058,399.3173,2.9326,2.5043,3.4106,50.0,50.0,50.0
