mode,users,runs,throughput_avg,throughput_min,throughput_max,total_s_avg,total_s_min,total_s_max,success_rate_avg,success_rate_min,success_rate_max
bypass,2,5,193.5274,176.159,214.3322,5.20666,4.6657,5.6767,50.0,50.0,50.0
bypass,4,5,143.44504,45.4656,222.1805,11.501199999999999,4.5008,21.9946,50.0,50.0,50.0
bypass,8,5,180.79306,50.6577,226.5353,7.71298,4.4143,19.7403,50.0,50.0,50.0
bypass,20,5,217.67334,211.6508,221.8608,4.59582,4.5073,4.7248,50.0,50.0,50.0
bypass,40,5,180.21666,44.8074,223.5098,8.20778,4.4741,22.3178,50.0,50.0,50.0
bypass,60,5,142.34574,42.2173,217.9703,11.97626,4.5878,23.687,51.0,51.0,51.0
bypass,80,5,216.12516,206.24,226.845,4.63132,4.4083,4.8487,52.0,52.0,52.0
bypass,100,5,213.76821999999999,201.7432,223.2122,4.6844600000000005,4.48,4.9568,50.0,50.0,50.0
inmemory,2,5,148.3316,44.3458,229.0786,9.47268,4.3653,22.5501,50.0,50.0,50.0
inmemory,4,5,224.56636,202.9689,236.2538,4.4653,4.2327,4.9269,50.0,50.0,50.0
inmemory,8,5,180.51146,51.7639,236.6488,7.68154,4.2257,19.3185,50.0,50.0,50.0
inmemory,20,5,202.30152,166.8603,225.3626,5.00782,4.4373,5.993,50.0,50.0,50.0
inmemory,40,5,212.13078,165.6987,237.0793,4.79606,4.218,6.0351,50.0,50.0,50.0
inmemory,60,5,211.94602,191.2021,229.4354,4.73956,4.3585,5.2301,51.0,51.0,51.0
inmemory,80,5,211.07508,178.0354,234.6848,4.79448,4.261,5.6169,52.0,52.0,52.0
inmemory,100,5,221.86661999999998,199.2965,233.5528,4.52208,4.2817,5.0176,50.0,50.0,50.0
redis,2,5,220.82082,196.9849,238.9263,4.54842,4.1854,5.0765,50.0,50.0,50.0
redis,4,5,223.46128000000002,183.168,242.7863,4.52128,4.1188,5.4595,50.0,50.0,50.0
redis,8,5,221.54211999999998,194.9955,239.6477,4.53976,4.1728,5.1283,50.0,50.0,50.0
redis,20,5,211.96982,179.1633,227.5538,4.75268,4.3946,5.5815,50.0,50.0,50.0
redis,40,5,177.55036,43.3121,223.5185,8.4221,4.4739,23.0882,50.0,50.0,50.0
redis,60,5,192.24967999999998,43.0718,236.7831,8.12978,4.2233,23.217,51.0,51.0,51.0
redis,80,5,186.3939,45.8369,231.7491,7.9930200000000005,4.315,21.8165,52.0,52.0,52.0
redis,100,5,220.13962,194.0089,233.1045,4.56166,4.2899,5.1544,50.0,50.0,50.0
