mode,users,runs,throughput_avg,throughput_min,throughput_max,total_s_avg,total_s_min,total_s_max,success_rate_avg,success_rate_min,success_rate_max
bypass,2,3,19.456899999999997,17.3193,20.63,51.7294,48.481,57.7389,50.0,50.0,50.0
bypass,4,3,41.51326666666667,35.4068,44.873,24.374766666666666,22.2851,28.2432,50.0,50.0,50.0
bypass,8,3,89.6542,87.31,91.4236,11.158333333333333,10.9381,11.454,50.0,50.0,50.0
bypass,16,3,176.57673333333332,171.61,183.6777,5.667933333333333,5.4443,5.827,50.0,50.0,50.0
bypass,32,3,275.13123333333334,262.9016,285.8521,3.6390000000000002,3.4983,3.8037,50.0,50.0,50.0
bypass,64,3,322.46633333333335,272.128,365.921,3.1478333333333333,2.7328,3.6747,50.0,50.0,50.0
bypass,100,3,383.6612666666667,366.6033,396.01,2.6092,2.525,2.7277,50.0,50.0,50.0
inmemory,2,3,20.059833333333334,17.3875,22.3533,50.391866666666665,44.7362,57.5125,50.0,50.0,50.0
inmemory,4,3,40.08626666666667,29.8936,47.2955,25.937966666666664,21.1437,33.452,50.0,50.0,50.0
inmemory,8,3,95.68823333333333,91.6133,98.8072,10.4611,10.1207,10.9154,50.0,50.0,50.0
inmemory,16,3,137.03343333333333,52.1875,180.0824,10.1022,5.553,19.1617,50.0,50.0,50.0
inmemory,32,3,216.88373333333334,47.5805,316.2346,9.221833333333333,3.1622,21.017,50.0,50.0,50.0
inmemory,64,3,340.2279,290.53,375.4891,2.9749333333333334,2.6632,3.442,50.0,50.0,50.0
inmemory,100,3,395.5158,390.2997,401.1053,2.5286333333333335,2.4931,2.5621,50.0,50.0,50.0
redis,2,3,16.73356666666667,11.9,22.2501,63.74956666666667,44.9436,84.002,50.0,50.0,50.0
redis,4,3,42.806533333333334,32.0543,48.2553,24.235033333333334,20.7231,31.197,50.0,50.0,50.0
redis,8,3,75.06156666666666,60.2325,98.55,13.936333333333334,10.147,16.6023,50.0,50.0,50.0
redis,16,3,161.60086666666666,128.1381,180.27,6.340066666666667,5.547,7.8041,50.0,50.0,50.0
redis,32,3,265.1533,233.5387,282.1712,3.800266666666667,3.5439,4.2819,50.0,50.0,50.0
redis,64,3,350.1569,320.8679,374.8228,2.8678,2.6679,3.1165,50.0,50.0,50.0
redis,100,3,363.2803666666667,314.6242,390.2769,2.7795666666666667,2.5623,3.1784,50.0,50.0,50.0
