users,succeeded,failed,submit_rps,completion_ops_s,submit_s,total_s
2,500,500,234.3242,234.3242,4.2676,4.2676
4,500,500,223.5826,223.5826,4.4726,4.4726
8,500,500,234.3299,234.3299,4.2675,4.2675
10,500,500,49.4949,49.4949,20.2041,20.2041
20,500,500,23.029,23.029,43.4235,43.4235
30,505,495,223.8536,223.8536,4.4672,4.4672
40,500,500,44.1828,44.1828,22.6332,22.6332
50,500,500,23.3645,23.3645,42.8001,42.8001
60,510,490,32.3956,32.3956,30.8684,30.8684
70,510,490,48.451,48.451,20.6394,20.6394
80,520,480,27.9975,27.9975,35.7175,35.7175
90,505,495,25.3782,25.3782,39.4039,39.4039
100,500,500,40.7672,40.7672,24.5295,24.5295
